skill,have_skill_and_add_to_profile,already_in_profile,jd_count,example_jds
Networking,,,3,IT Business Analyst III - Gama-1 Technologies; Product Owner - Realtime Clinical Trial Management Systems; Junior Project Manager - Ruby Labs
Relationship management,,,3,Delivery Lead - Halo Media; Product Owner - Mutual of Omaha; Business Analyst - SaaS - Motorola Solutions
Smartsheet,,,3,Project Manager - The Project Shop; Implementation Project Manager - Attentive; IT Project Manager - OpenLoop
SOPs,,,3,AI Application Specialist - Motorola Solutions; AI Marketing Systems Manager - Onist Digital Agency; Associate Technical Ecommerce Manager - ePromos
Systems integration,,,3,"Project Manager - The Project Shop; Implementation Manager (AI / HealthTech) - evoke; IT Solutions Project Manager - Supply Chain Planning Systems - ERP Logic Israel, SAP Partner"
UI,,,3,Product Owner - Mutual of Omaha; Project Management Officer - HFM; Analytics Product Manager - Cotiviti
Azure Boards,,,2,Agile Project Manager - Everforth ECS; Agile Project Manager - Pinnacle Method Consulting
Conflict resolution,,,2,Product Owner - Mutual of Omaha; Scrum Master - Helic & Co.
Data visualization,,,2,Data & Analytics (ML-Enabled Systems) - Thomson Reuters; Decision Strategy Management – Dialer and Campaign Management Strategist - BMO
Data warehousing,,,2,Business Analyst - SaaS - Motorola Solutions; Data & Analytics (ML-Enabled Systems) - Thomson Reuters
Ecommerce,,,2,Project Manager - Plusgrade; Associate Technical Ecommerce Manager - ePromos
ETL,,,2,Data & Analytics (ML-Enabled Systems) - Thomson Reuters; Implementation Manager (AI / HealthTech) - evoke
Google Cloud,,,2,Technical Project Manager - Yalo; DC to Cloud Scrum Master/Project Manager - Sogeti
HubSpot,,,2,Technical Project Manager - Gravitate; AI Marketing Systems Manager - Onist Digital Agency
Microsoft Office,,,2,Project Manager - RedStream Technology; Analytics Product Manager - Cotiviti
Microsoft Planner,,,2,Agile Project Manager - Everforth ECS; Agile Project Manager - Pinnacle Method Consulting
Microsoft Teams,,,2,Project Manager - The Project Shop; Implementation Manager - avante
Negotiation,,,2,Product Owner - Mutual of Omaha; Junior Product Life Cycle Program Manager - Ciena
NLP,,yes,2,"Analytics Product Manager - Cotiviti; Data Analyst, Product Analytics - Thomson Reuters"
Product analytics,,,2,"Data & Analytics (ML-Enabled Systems) - Thomson Reuters; Data Analyst, Product Analytics - Thomson Reuters"
Six Sigma,,,2,Lead Project Manager - Humana; Lead Project Manager - Humana
Vendor management,,,2,Information Services Manager (ISM) - Mutual of Omaha; Information Technology Project Manager - Salt
A/B testing,,,1,"Data Analyst, Product Analytics - Thomson Reuters"
Amplitude,,,1,"Data Analyst, Product Analytics - Thomson Reuters"
CSPO,,,1,"Associate Product Manager - Mastery Logistics Systems, Inc."
Executive reporting,,,1,Lead Technical Project Manager - Remote - Experian
Figma,,,1,Project Management Officer - HFM
Google Analytics,,,1,"Data Analyst, Product Analytics - Thomson Reuters"
Hybrid project management,,,1,Information Technology Project Manager - Wilson & Sterling Consulting
Information security,,,1,IT Business Analyst III - Gama-1 Technologies
ITIL,,,1,Líder de entrega ágil - Comfama Empleo
Legal technology,,,1,Implementation Consultant – Legal AI Solutions - Thomson Reuters
Notion,,,1,Technical Project Manager - Gravitate
OKRs,,yes,1,Project Manager - 6ix
Portfolio management,,,1,Project Manager - The Project Shop
ServiceNow,,,1,Implementation Manager - avante
Snowflake,,yes,1,Data & Analytics (ML-Enabled Systems) - Thomson Reuters
Tableau,,,1,Analytics Product Manager - Cotiviti
Trello,,,1,Project Management Officer - HFM
Zendesk,,,1,Application Specialist - Motorola Solutions
